,material_id,band_gap,is_gap_direct,symmetry.crystal_system
137,mp-1191916,0.30759999999999904,False,tetragonal
138,mp-4004,0.5945,False,orthorhombic
139,mp-569467,0.23160000000000003,True,monoclinic
140,mp-573465,0.198499999999999,True,orthorhombic
141,mp-1191803,0.47129999999999905,False,tetragonal
142,mp-15487,0.008799999999999001,False,monoclinic
143,mp-1205440,1.8778000000000001,False,triclinic
144,mp-1204185,2.4678,False,monoclinic
145,mp-15077,0.7299000000000001,True,cubic
146,mp-683910,1.455899999999999,False,monoclinic
147,mp-1197032,0.9116000000000001,True,cubic
148,mp-8594,0.7841,True,cubic
149,mp-679950,0.2621,True,monoclinic
150,mp-9770,0.6102000000000001,True,orthorhombic
151,mp-15645,0.535099999999999,True,orthorhombic
152,mp-17984,0.0009999999999990002,False,orthorhombic
153,mp-651048,0.5601,False,orthorhombic
154,mp-1195618,0.026499999999999004,False,monoclinic
155,mp-556837,2.765,False,monoclinic
156,mp-1191037,1.6736,True,monoclinic
157,mp-985701,0.8362,False,triclinic
158,mp-554710,2.6314,False,tetragonal
159,mp-558950,0.5930000000000001,True,orthorhombic
160,mp-22665,1.385999999999999,False,monoclinic
161,mp-1196797,1.8455,False,triclinic
162,mp-13740,1.4968,False,trigonal
163,mp-542609,1.577699999999999,True,monoclinic
164,mp-649756,1.8836,True,orthorhombic
165,mp-570340,0.8406,False,monoclinic
166,mp-16060,1.0268,False,tetragonal
167,mp-10413,4.2798,False,cubic
168,mp-738633,3.9999000000000002,True,monoclinic
169,mp-1204520,1.9977,False,monoclinic
170,mp-703539,3.296399999999999,False,orthorhombic
171,mp-1194753,2.3274,False,orthorhombic
172,mp-1194697,2.7748,True,orthorhombic
173,mp-12021,3.157,True,orthorhombic
174,mp-24058,3.044,True,orthorhombic
175,mp-759882,3.8049,False,triclinic
176,mp-559803,1.285299999999999,True,orthorhombic
177,mp-559834,2.5739,True,monoclinic
178,mp-557494,2.8918,False,triclinic
179,mp-1195262,2.4344,False,monoclinic
180,mp-556434,1.183799999999999,False,triclinic
181,mp-569126,1.2778,False,trigonal
182,mp-1192345,2.9907,True,monoclinic
183,mp-28965,0.3971,False,triclinic
184,mp-558368,0.7834000000000001,False,monoclinic
185,mp-569939,0.549999999999999,False,monoclinic
186,mp-23474,0.5262,False,monoclinic
187,mp-29678,0.5212,False,trigonal
188,mp-556094,1.0752,True,orthorhombic
189,mp-27916,0.23409999999999903,False,trigonal
190,mp-23231,0.730399999999999,False,cubic
191,mp-570301,0.6990000000000001,False,monoclinic
192,mp-567459,3.7361,False,orthorhombic
193,mp-616521,3.577499999999999,False,trigonal
194,mp-650510,1.5590000000000002,False,orthorhombic
195,mp-1183029,2.3561,False,monoclinic
196,mp-29672,3.4634,False,orthorhombic
197,mp-561205,2.4341,False,triclinic
198,mp-1183000,0.000399999999999,False,tetragonal
199,mp-9519,3.6601,False,trigonal
200,mp-560460,2.4627,False,orthorhombic
201,mp-545730,1.301899999999999,False,orthorhombic
202,mp-6070,2.3532,False,orthorhombic
203,mp-6781,3.0696,False,monoclinic
204,mp-6814,2.8161,False,trigonal
205,mp-5282,2.3498,False,monoclinic
206,mp-1188917,2.7068,False,trigonal
207,mp-562550,2.279699999999999,True,orthorhombic
208,mp-6050,2.692199999999999,False,monoclinic
209,mp-22922,0.9522,False,cubic
210,mp-570687,0.8720000000000001,False,monoclinic
211,mp-570858,0.44379999999999903,False,orthorhombic
212,mp-1079156,0.9151,False,orthorhombic
213,mp-22959,0.9630000000000001,False,orthorhombic
214,mp-552169,0.911899999999999,False,orthorhombic
215,mp-27941,2.3983,False,tetragonal
216,mp-1191267,2.6793,True,orthorhombic
217,mp-22993,2.3558,False,tetragonal
218,mp-551758,2.3744,False,cubic
219,mp-1197263,2.1401,False,monoclinic
220,mp-1204384,0.308399999999999,False,monoclinic
221,mp-560182,3.4618,False,monoclinic
222,mp-1196463,2.8994,False,monoclinic
223,mp-698405,1.8235000000000001,False,monoclinic
224,mp-1200633,1.238,False,monoclinic
225,mp-560619,2.9047,False,orthorhombic
226,mp-1203884,3.4709,False,orthorhombic
227,mp-1200476,3.0284,False,triclinic
228,mp-1200682,3.103,False,monoclinic
229,mp-1199390,3.2499000000000002,True,monoclinic
230,mp-1202475,3.3139,False,triclinic
231,mp-1205035,0.029199999999999,True,tetragonal
232,mp-707277,3.2954,True,orthorhombic
233,mp-1192660,1.9599000000000002,False,tetragonal
234,mp-24053,2.8242000000000003,False,orthorhombic
235,mp-697268,3.0727,True,orthorhombic
236,mp-1205047,3.46,True,triclinic
237,mp-849798,3.1878,True,tetragonal
238,mp-1196199,3.157599999999999,True,tetragonal
239,mp-1200371,2.354,True,tetragonal
240,mp-1102571,2.4608,False,monoclinic
241,mp-1193968,3.0167,False,orthorhombic
242,mp-707364,0.8284,False,monoclinic
243,mp-1201812,2.6044,True,orthorhombic
244,mp-643431,1.7101000000000002,False,tetragonal
245,mp-24072,3.6925,False,monoclinic
246,mp-1202721,1.992,False,monoclinic
247,mp-698351,2.4611,False,monoclinic
248,mp-1194934,2.8991000000000002,True,monoclinic
249,mp-1204011,2.2819000000000003,False,monoclinic
250,mp-1202066,2.9647,True,monoclinic
251,mp-1199373,3.3939,False,monoclinic
252,mp-1205234,3.464,False,orthorhombic
253,mp-1200006,2.8782,True,orthorhombic
254,mp-759408,3.848799999999999,False,triclinic
255,mp-605808,3.485299999999999,False,monoclinic
256,mp-559423,3.3148,True,orthorhombic
257,mp-605676,3.1637,True,orthorhombic
258,mp-1201826,3.2944,True,monoclinic
259,mp-555250,3.1765,False,triclinic
260,mp-1195948,3.1811,False,orthorhombic
261,mp-558188,0.738599999999999,True,orthorhombic
262,mp-560443,0.5517000000000001,False,orthorhombic
263,mp-556798,1.1892,True,orthorhombic
264,mp-567890,0.7838,True,monoclinic
265,mp-12362,0.709299999999999,True,trigonal
266,mp-6215,1.2453,False,monoclinic
267,mp-560067,1.2604,False,orthorhombic
268,mp-23140,1.3584,True,orthorhombic
269,mp-558446,1.1391,False,orthorhombic
270,mp-22894,1.3877000000000002,True,hexagonal
271,mp-22919,0.7684000000000001,False,cubic
272,mp-22925,1.3674,True,cubic
273,mp-567809,1.5986,True,tetragonal
274,mp-568927,0.9588999999999991,False,monoclinic
275,mp-580941,1.3759000000000001,True,hexagonal
276,mp-1194592,2.2937,False,tetragonal
277,mp-1195485,2.279,False,orthorhombic
278,mp-1202188,1.806899999999999,False,orthorhombic
279,mp-27384,2.4375,False,orthorhombic
280,mp-30037,0.11079999999999901,False,tetragonal
281,mp-14973,2.024299999999999,False,monoclinic
282,mp-17427,1.9584000000000001,False,monoclinic
283,mp-19467,1.6215000000000002,False,triclinic
284,mp-603946,2.1547,False,triclinic
285,mp-680482,2.0242,False,triclinic
286,mp-1103149,1.035999999999999,False,tetragonal
287,mp-14029,2.1219,False,monoclinic
288,mp-1196722,0.41530000000000006,True,orthorhombic
289,mp-2247,1.5714000000000001,False,orthorhombic
290,mp-571297,1.631499999999999,True,tetragonal
291,mp-644729,1.979299999999999,False,orthorhombic
292,mp-5770,1.7868,False,orthorhombic
293,mp-552185,1.853899999999999,False,trigonal
294,mp-638686,2.008899999999999,True,orthorhombic
295,mp-669466,2.0027,True,orthorhombic
296,mp-8196,1.7204000000000002,False,trigonal
297,mp-1079720,0.115999999999999,False,monoclinic
298,mp-1288,0.1826,False,tetragonal
299,mp-1189095,1.1378,False,trigonal
300,mp-1194585,1.9686000000000001,True,monoclinic
301,mp-1195243,1.2132,False,triclinic
302,mp-8200,0.6586999999999991,False,monoclinic
303,mp-696992,3.3529,True,monoclinic
304,mp-1201487,2.1822,False,monoclinic
305,mp-18702,2.0232,False,monoclinic
306,mp-5470,1.3228,False,monoclinic
307,mp-621612,1.9341,True,monoclinic
308,mp-560923,2.4109,False,tetragonal
309,mp-559470,0.18829999999999902,True,tetragonal
310,mp-1193499,1.4039000000000001,False,triclinic
311,mp-1018033,0.621799999999999,False,trigonal
312,mp-1202574,0.18779999999999902,True,monoclinic
313,mp-1204157,0.0001,True,trigonal
314,mp-1183033,0.06519999999999901,False,monoclinic
315,mp-559602,2.7813,False,monoclinic
316,mp-1202255,1.175,True,monoclinic
317,mp-14653,0.5397999999999991,False,triclinic
318,mp-1198276,1.116299999999999,True,monoclinic
319,mp-1194141,3.1523,True,monoclinic
320,mp-640564,1.4658,False,monoclinic
321,mp-3414,1.7739,True,cubic
322,mp-690698,2.8326000000000002,False,orthorhombic
323,mp-540872,0.094599999999999,False,cubic
324,mp-545999,0.133299999999999,True,trigonal
325,mp-560848,1.0857,False,monoclinic
326,mp-605863,0.5552,False,monoclinic
327,mp-1199019,2.555399999999999,False,monoclinic
328,mp-1205392,1.312699999999999,False,monoclinic
329,mp-3922,1.3716,False,monoclinic
330,mp-555028,0.8025,False,triclinic
